Lev0	Jaro	Jaro_Winkler	Ratio	Sorensen	Jaccard	Lev1	Lev2	Dice2	Dice3	Dice4	CosWords	Cos2	wLev0	wJaro	wJaro_Winkler	wRatio	wSorensen	wJaccard	wLev1	wLev2	wDice2	wDice3	wDice4	wCosWords	wCos2	intercept	AUC
0	1	0	1	1	1	1	1	1	0	1	1	1	0.0	1.34823202282	0.0	0.279084194414	-0.757246776938	-0.708309908603	-1.01414497386	-1.17259795579	2.55400980651	0.0	0.327137267192	0.971721824535	0.669698172604	-2.44228015809	0.954549051259
0	1	0	1	1	1	1	1	1	1	0	1	1	0.0	1.29074219522	0.0	0.212574614151	-0.765830640811	-0.696330625719	-1.02727485707	-1.1589374325	2.27919676682	0.762388735053	0.0	0.984144716878	0.588567674072	-2.45226942736	0.955672664546
0	1	0	1	1	1	1	1	1	1	1	0	1	0.0	1.3170737984	0.0	-0.140074735891	-0.794612835638	-0.728104466322	-1.27951448459	-1.4346516225	2.96658385385	0.854283789455	-0.0354031333662	0.0	1.55017284587	-2.44548046526	0.949666872399
0	1	0	1	1	1	1	1	1	1	1	1	0	0.0	1.2931631699	0.0	0.259512188759	-0.755897441209	-0.667708431009	-1.07400808321	-1.23452294218	2.42431647912	1.34302189408	-0.315924314046	1.17366402848	0.0	-2.42558158397	0.956250296729
0	1	1	0	1	1	1	1	1	1	1	1	1	0.0	1.78803804035	-1.00705197621	0.0	-0.565210255796	-0.566656554522	-1.03603706583	-1.18188760992	2.24340062393	1.14893514701	-0.218155254835	1.03699353832	0.550200918076	-1.93853488146	0.949722261786
0	1	1	0	0	1	1	1	1	1	1	1	1	0.0	1.73160319567	-1.08229236433	0.0	0.0	-0.274115121526	-1.01749117437	-1.16533091133	2.25878541027	1.14183784884	-0.211313866538	1.04232414059	0.544121068077	-2.15445212014	0.953900204149
0	1	1	0	1	0	1	1	1	1	1	1	1	0.0	1.70991498723	-1.07589614927	0.0	-0.0529424658155	0.0	-1.07827014765	-1.24854537244	2.19237024916	1.15999057065	-0.230177105563	1.04295992833	0.54003953244	-2.1845021975	0.949374099922
0	1	1	0	1	1	0	1	1	1	1	1	1	0.0	1.67193669225	-0.989265895397	0.0	-0.526832769904	-0.61711477727	0.0	-1.91500198262	2.05709270596	1.10197580867	-0.180840625846	1.06238568856	0.558730102779	-1.91296386635	0.952206871449
0	1	1	0	1	1	1	0	1	1	1	1	1	0.0	1.64608113092	-0.978554841885	0.0	-0.528124863606	-0.654594099802	-1.8548389163	0.0	2.04934714954	1.1118700141	-0.156199222043	1.06762236711	0.567869608529	-1.96231101499	0.945995347291
0	1	1	0	1	1	1	1	0	1	1	1	1	0.0	2.15612800407	-1.04912153558	0.0	-0.644922915329	-0.444754448247	-0.605596110435	-0.780426306878	0.0	1.96596758774	-0.357631469035	1.17619001563	0.769531192175	-2.10853575146	0.950402759974
0	1	1	0	1	1	1	1	1	0	1	1	1	0.0	1.88803973797	-0.999627949448	0.0	-0.54862396532	-0.580704554748	-0.987534916798	-1.14669541107	2.58039069283	0.0	0.357094044565	1.01094615263	0.653047286204	-1.94186366902	0.947380081976
0	1	1	0	1	1	1	1	1	1	0	1	1	0.0	1.82054727977	-1.01644936398	0.0	-0.556828789461	-0.575596816338	-1.01403194987	-1.14880734062	2.27962718879	0.813917953839	0.0	1.02711518923	0.573029999597	-1.95366415598	0.949524442545
0	1	1	0	1	1	1	1	1	1	1	0	1	0.0	1.5746504377	-0.56550997408	0.0	-0.694693683343	-0.672488336865	-1.33268859113	-1.5023350073	2.95502173369	0.837631298145	-0.0118362274138	0.0	1.55894987574	-2.20887711864	0.944697653073
0	1	1	0	1	1	1	1	1	1	1	1	0	0.0	1.83765453133	-1.03371837397	0.0	-0.541828793348	-0.543388495436	-1.05108682086	-1.21215365886	2.43638769854	1.36262164517	-0.298275625004	1.21110576824	0.0	-1.91013350867	0.950932915539
0	1	1	1	0	1	1	1	1	1	1	1	1	0.0	1.70445527957	-1.08421396112	0.166517155597	0.0	-0.282700169795	-1.04833663324	-1.2022330695	2.23204907648	1.13123372796	-0.207440058262	1.04621068711	0.54067859934	-2.18194290703	0.952982322873
0	1	1	1	0	0	1	1	1	1	1	1	1	0.0	1.6866717555	-1.08292312016	0.114909320182	0.0	0.0	-1.09465757094	-1.26664667334	2.18199450112	1.1514222403	-0.226206995753	1.0459807852	0.536501554524	-2.22029201778	0.949342448844
0	1	1	1	0	1	0	1	1	1	1	1	1	0.0	1.63632936285	-1.05970635709	-0.0814373651536	0.0	-0.338004945946	0.0	-1.85811783313	2.08935052486	1.10161677054	-0.177177939758	1.06471505448	0.555072438455	-2.1017843005	0.955704315625
0	1	1	1	0	1	1	0	1	1	1	1	1	0.0	1.62569949209	-1.04891878662	-0.159479632618	0.0	-0.369290827731	-1.77056179849	0.0	2.09509232715	1.11567249935	-0.15579579381	1.06783150788	0.566210049166	-2.13659297969	0.951724192502
