B.B. King: Blues Session	Business Times on ESPN	0.28	0.678926	0.711033	0.458333	-0.966775	0	0	-2.319183
B.B. King: Blues Summit	B.A. in Music	0.458333	0.672619	0.738095	0.578947	1.401917	1	0	-1.933716
B.B. King: Jazz Legend	Boys in the Band	0.391304	0.678137	0.710323	0.45	-0.556129	0	0	-2.246607
B.B. King: Live (Geffen Records)	BYOB Bring Your Own Board	0.333333	0.654235	0.688811	0.474576	0.720934	1	0	-2.329140
B.B. King: Live (Geffen Records/ Blu-ray)	Banshee Origins: The Real Lucas Hood	0.190476	0.65506	0.689554	0.35443	0.214242	1	0	-2.569711
B.B. King: Live (Image)	Big Women, Big Love	0.25	0.680556	0.7125	0.409091	-0.603808	0	0	-2.402145
B.B. King: Live (Image/ Blu-ray)	Black in Latin America	0.272727	0.641932	0.677739	0.464286	0.585851	1	0	-2.422163
B.B. King: Live At Montreux 1993	BBQ Kings	0.242424	0.637374	0.673636	0.372093	0.221503	1	0	-2.573671
B.B. King: Live At Montreux 1993 (Blu-ray)	Babar and the Adventures of Badou	0.302326	0.622641	0.660377	0.415584	0.290515	1	0	-2.524296
B.B. King: Live At Nicks	Black in Latin America	0.36	0.687184	0.718466	0.5	-0.971913	0	0	-2.168113
B.B. King: Live At Royal Albert Hall	Big Brother Reality Allstars	0.297297	0.667227	0.700504	0.454545	0.428528	1	0	-2.347294
B.B. King: Live At Royal Albert Hall (Blu-ray)	Big Rich Texas: Whitney's Having a Baby	0.234043	0.619013	0.657111	0.390805	0.213497	1	0	-2.603429
B.B. King: Live By Request	Bear in the Big Blue House	0.296296	0.674655	0.70719	0.481481	-0.150681	0	0	-2.286039
B.B. King: Live By Request (Jewelbox)	Bear in the Big Blue House	0.342105	0.655686	0.690117	0.430769	0.779788	1	0	-2.382589
B.B. King: Live In Africa	Black in Latin America	0.461538	0.739096	0.765186	0.612245	-1.087634	0	0	-1.695378
B.B. King: Live In Africa '74	Black in Latin America	0.4	0.711745	0.740571	0.566038	0.193272	1	0	-1.940101
B.B. King: Live: Soundstage	BBC Learning: True Stories	0.321429	0.685009	0.716508	0.509091	0.366805	1	0	-2.192634
B.B. King: Live: Soundstage (Jewel Case)	British Legends of Stage and Screen	0.292683	0.670072	0.703064	0.415584	0.215615	1	0	-2.397321
B.B. King: Living Legend	Big Love: In the Beginning	0.24	0.680884	0.712795	0.461538	-0.848216	0	0	-2.334134
B.B. King: Living Legend (EAN Version)	Big Love: In the Beginning	0.307692	0.649033	0.68413	0.424242	0.761233	1	0	-2.435656
B.B. King: Master Of Blues	BBQ Kings	0.333333	0.698765	0.728889	0.486486	0.316335	1	0	-2.176356
B.B. King: Memphis Blues Session	Bear in the Big Blue House	0.424242	0.657267	0.69154	0.5	0.692385	1	0	-2.200419
B.B. King: Most Famous Hits: Live	BBQ Kings	0.264706	0.678431	0.710588	0.409091	0.219392	1	0	-2.399629
B.B. King: Night Of Blistering Blues	Bear in the Big Blue House	0.351351	0.64376	0.679384	0.53125	0.794607	1	0	-2.256610
B.B. King: Standing Room Only (Ariola)	Breaking Hollywood: One Actor at a Time	0.153846	0.637607	0.673846	0.405063	0.213508	1	0	-2.568876
B.B. King: Standing Room Only (S'More Entertainment)	Bring Me the Head of Light Entertainment	0.433962	0.632582	0.669324	0.553191	0.213496	1	0	-2.176665
B.B. King: Sweet 16: Live In Africa	Blue Angels: A Year in the Life	0.25	0.644992	0.680492	0.382353	0.357384	1	0	-2.536647
B.B. King: The Blues Anthology (DVD/CD Combo/ Slipcase)	Boy in the Bush	0.232143	0.627976	0.665179	0.361111	0.213525	1	0	-2.616456
B.B. King: The Jazz Channel Presents B.B. King: BET On Jazz	BBQ Kings	0.15	0.605556	0.645	0.257143	0.213496	1	0	-2.802395
B.B. King: The Life Of Riley	Bad Kitty: The Series	0.448276	0.682565	0.714308	0.54902	-0.445503	0	0	-2.013863
B.B. King: The Life Of Riley (Blu-ray)	Big Red: The Original Outlaw Racer	0.307692	0.665104	0.698593	0.459459	0.218164	1	0	-2.338965
