B Angie B (DVD/CD Combo)	Buying the Bayou	0.24	0.629412	0.666471	0.380952	-2.585285	0	0
B-17 Flying Legend	Blekingegade	0.368421	0.731849	0.758664	0.5625	-1.911785	0	0
B-2 Stealth Bomber	Bomb Shelter	0.421053	0.731849	0.758664	0.5625	-1.857872	0	0
B-2-Stealth Bomber	Battle Dome	0.421053	0.719883	0.747895	0.516129	-1.978845	1	0
B-29 Frozen In Time	Before My Time	0.5	0.700505	0.730455	0.571429	-1.856328	0	0
B-29 Superfortress: Wings Of Destruction: American War Eagles	Burning Desire: The Seduction of Smoking	0.274194	0.650956	0.68586	0.446602	-2.420849	1	0
B-52's: Time Capsule: Videos For A Future Generation (DVD/CD Combo)	Bailando por un sueño: 1er campeonato internacional de baile	0.235294	0.61793	0.656137	0.387597	-2.609597	1	0
B-52s: Live In Germany 1983 (Hudson Music)	Berlin 1936: Games of the XI Olympiad	0.186047	0.615518	0.653966	0.345679	-2.683606	1	0
B-52s: Live In Germany 1983 (Immortal Classics)	Berlin 1936: Games of the XI Olympiad	0.229167	0.64543	0.680887	0.372093	-2.558356	1	0
B-52s: With The Wild Crowd!: Live In Athens, GA	Big Ideas That Changed the World	0.25	0.64831	0.683479	0.345679	-2.57202	1	0
B-52s: With The Wild Crowd!: Live In Athens, GA (Blu-ray)	Breakfast with the Arts (Richard Rodgers: Falling in Love)	0.224138	0.639207	0.675286	0.410256	-2.529983	1	0
B-Boy Masters: Hip-Hop Elements All-Star Weekend	Bill Bryson: Notes from a Small Island	0.244898	0.666047	0.699443	0.386364	-2.47601	1	0
B-Boyz	Bony	0.428571	0.790476	0.811429	0.666667	-1.448209	0	0
B-Girl	Bad Girls	0.428571	0.819048	0.837143	0.705882	-1.265617	0	1
B-Girl (Blu-ray)	Bill Brand	0.470588	0.726976	0.754278	0.571429	-1.802566	0	0
B-Movie Blast: 50 Movie Collection	Beer, Babes & Movies	0.342857	0.663492	0.697143	0.5	-2.254877	1	0
B-Movie: The Shooting Of 'Farmhouse Massacre' (Special Edition)	Blush: The Search for America's Greatest Makeup Artist	0.296875	0.655835	0.690252	0.403361	-2.451972	1	0
B-Side	B-Sides	0.857143	0.958333	0.983333	0.933333	0.482159	0	1
B. B. King: The Blues Anthology (DVD/CD Combo)	Born to Be Wild: The Golden Age of American Rock	0.276596	0.603343	0.643009	0.4375	-2.562277	1	0
B. East (DVD-ROM)	Book Case TV	0.277778	0.64245	0.678205	0.451613	-2.435555	0	0
B. Giorgi: Attitude Tu Ballet Pilates Fusion	Border Security: Australia's Front Line	0.244444	0.655556	0.69	0.423529	-2.45708	1	0
B. Monkey (Miramax Echo Bridge)	Boxing from St. Nicholas Arena	0.21875	0.666779	0.700101	0.444444	-2.410754	1	0
B. Monkey (Miramax)	Big Money TV	0.4	0.714103	0.742692	0.545455	-1.968594	1	0
B.A.M.150	B.O.X.	0.5	0.738095	0.790476	0.588235	-1.656905	0	0
B.A.P.S	B.O.O.S.	0.625	0.805556	0.844444	0.705882	-1.010715	0	0
B.A.S.E. Training (Balance And Stability Exercise)	BBC Learning Episode: Brazil - Music Dance and Art	0.137255	0.650327	0.685294	0.411765	-2.53225	1	0
B.B King: Blues Anthology: Sing Sing Thanksgiving 1972	Battle Jar: Resolving Arguments Since the Dawn of Time	0.181818	0.622906	0.660615	0.381818	-2.625428	1	0
B.B. King / Joan Baez: Live: Sing Sing, Ossining, NY, 1972	BBQ Kings	0.152542	0.606215	0.645593	0.26087	-2.79723	1	0
B.B. King / Turk Murphy: Jazz Casual	BBQ Kings	0.243243	0.62973	0.666757	0.382979	-2.58038	1	0
B.B. King And Eric Clapton: Riding With The King (Audio-Only DVD)	BBC Learning Episode: Brazil - Music Dance and Art	0.242424	0.613383	0.652045	0.376068	-2.631992	1	0
B.B. King And Joan Baez: In Concert At Sing Sing Prison, 1972	BBC Learning Episode: Brazil - Music Dance and Art	0.241935	0.609398	0.648458	0.389381	-2.626427	1	0
B.B. King And Joan Baez: In Concert At Sing Sing Prison, 1972 (Old Version)	BBQ Kings	0.118421	0.597368	0.637632	0.209302	-2.861726	1	0
B.B. King: Anthology (DVD/CD Combo)	BBQ Kings	0.222222	0.631481	0.668333	0.347826	-2.626938	1	0
B.B. King: At Sing Sing Prison	Bao qing tian	0.322581	0.644393	0.679954	0.444444	-2.409985	1	0
B.B. King: B.B. King & Friends	BBQ Kings	0.290323	0.641935	0.677742	0.439024	-2.446664	1	0
B.B. King: B.B. King & The Guitar Legends: In Performance	Battle Jar: Resolving Arguments Since the Dawn of Time	0.206897	0.628518	0.665667	0.371681	-2.61338	1	0
B.B. King: B.B. King Blues Master	BBQ Kings	0.264706	0.635294	0.671765	0.409091	-2.520979	1	0
B.B. King: Blues Anthology (DVD/CD Combo)	Battlegrounds: King of the Court	0.214286	0.625008	0.662507	0.373333	-2.617554	1	0
B.B. King: Blues Master	B.J. and the Bear	0.416667	0.690527	0.752422	0.52381	-2.020017	0	0
B.B. King: Blues Master Highlights	Big Love: In the Beginning	0.285714	0.661134	0.695021	0.419355	-2.422397	1	0
B.B. King: Blues Session	Business Times on ESPN	0.28	0.678926	0.711033	0.458333	-2.319183	0	0
B.B. King: Blues Summit	B.A. in Music	0.458333	0.672619	0.738095	0.578947	-1.933716	1	0
B.B. King: Jazz Legend	Boys in the Band	0.391304	0.678137	0.710323	0.45	-2.246607	0	0
B.B. King: Live (Geffen Records)	BYOB Bring Your Own Board	0.333333	0.654235	0.688811	0.474576	-2.32914	1	0
B.B. King: Live (Geffen Records/ Blu-ray)	Banshee Origins: The Real Lucas Hood	0.190476	0.65506	0.689554	0.35443	-2.569711	1	0
B.B. King: Live (Image)	Big Women, Big Love	0.25	0.680556	0.7125	0.409091	-2.402145	0	0
B.B. King: Live (Image/ Blu-ray)	Black in Latin America	0.272727	0.641932	0.677739	0.464286	-2.422163	1	0
B.B. King: Live At Montreux 1993	BBQ Kings	0.242424	0.637374	0.673636	0.372093	-2.573671	1	0
B.B. King: Live At Montreux 1993 (Blu-ray)	Babar and the Adventures of Badou	0.302326	0.622641	0.660377	0.415584	-2.524296	1	0
B.B. King: Live At Nicks	Black in Latin America	0.36	0.687184	0.718466	0.5	-2.168113	0	0
B.B. King: Live At Royal Albert Hall	Big Brother Reality Allstars	0.297297	0.667227	0.700504	0.454545	-2.347294	1	0
B.B. King: Live At Royal Albert Hall (Blu-ray)	Big Rich Texas: Whitney's Having a Baby	0.234043	0.619013	0.657111	0.390805	-2.603429	1	0
B.B. King: Live By Request	Bear in the Big Blue House	0.296296	0.674655	0.70719	0.481481	-2.286039	0	0
B.B. King: Live By Request (Jewelbox)	Bear in the Big Blue House	0.342105	0.655686	0.690117	0.430769	-2.382589	1	0
B.B. King: Live In Africa	Black in Latin America	0.461538	0.739096	0.765186	0.612245	-1.695378	0	0
B.B. King: Live In Africa '74	Black in Latin America	0.4	0.711745	0.740571	0.566038	-1.940101	1	0
B.B. King: Live: Soundstage	BBC Learning: True Stories	0.321429	0.685009	0.716508	0.509091	-2.192634	1	0
B.B. King: Live: Soundstage (Jewel Case)	British Legends of Stage and Screen	0.292683	0.670072	0.703064	0.415584	-2.397321	1	0
B.B. King: Living Legend	Big Love: In the Beginning	0.24	0.680884	0.712795	0.461538	-2.334134	0	0
B.B. King: Living Legend (EAN Version)	Big Love: In the Beginning	0.307692	0.649033	0.68413	0.424242	-2.435656	1	0
B.B. King: Master Of Blues	BBQ Kings	0.333333	0.698765	0.728889	0.486486	-2.176356	1	0
B.B. King: Memphis Blues Session	Bear in the Big Blue House	0.424242	0.657267	0.69154	0.5	-2.200419	1	0
B.B. King: Most Famous Hits: Live	BBQ Kings	0.264706	0.678431	0.710588	0.409091	-2.399629	1	0
B.B. King: Night Of Blistering Blues	Bear in the Big Blue House	0.351351	0.64376	0.679384	0.53125	-2.25661	1	0
B.B. King: Standing Room Only (Ariola)	Breaking Hollywood: One Actor at a Time	0.153846	0.637607	0.673846	0.405063	-2.568876	1	0
B.B. King: Standing Room Only (S'More Entertainment)	Bring Me the Head of Light Entertainment	0.433962	0.632582	0.669324	0.553191	-2.176665	1	0
B.B. King: Sweet 16: Live In Africa	Blue Angels: A Year in the Life	0.25	0.644992	0.680492	0.382353	-2.536647	1	0
B.B. King: The Blues Anthology (DVD/CD Combo/ Slipcase)	Boy in the Bush	0.232143	0.627976	0.665179	0.361111	-2.616456	1	0
B.B. King: The Jazz Channel Presents B.B. King: BET On Jazz	BBQ Kings	0.15	0.605556	0.645	0.257143	-2.802395	1	0
B.B. King: The Life Of Riley	Bad Kitty: The Series	0.448276	0.682565	0.714308	0.54902	-2.013863	0	0
B.B. King: The Life Of Riley (Blu-ray)	Big Red: The Original Outlaw Racer	0.307692	0.665104	0.698593	0.459459	-2.338965	1	0
B.B.G.: Black Bad Girls #21	Booty Back Packers	0.392857	0.626965	0.664269	0.468085	-2.369134	0	0
B.F.'s Daughter (Archive Collection/ On Demand DVD-R)	Blue Highways: Voices of the Other America	0.222222	0.638301	0.674471	0.329897	-2.62922	1	0
B.F.G.: Big Friendly Giant	Big Break: Florida	0.222222	0.670565	0.703509	0.434783	-2.411382	0	0
B.F.G.: Big Friendly Giant / Toothbrush Family (2-Pack)	Britain from the Air: Flying Through History	0.196429	0.637843	0.674058	0.376238	-2.587698	1	0
B.I.K.E.	B.O.G.E.	0.777778	0.851852	0.881481	0.777778	-0.43618	0	0
B.I.T.S. And Pieces: Step Ball Interval Training	Beyond Wall Street: The Art of Investing	0.265306	0.670558	0.703502	0.4	-2.434069	1	0
B.J. Cole: Trouble In Paradise (DualDisc)	Bob the Builder: Project Build It	0.309524	0.653559	0.688203	0.394737	-2.461628	1	0
B.J. Thomas: Christmas	Buy This Restaurant	0.304348	0.674303	0.706873	0.465116	-2.305846	0	0
B.J. Thomas: Hook On A Feeling: The Best Of B.J. Thomas (DualDisc)	Behind the Mask Show: The Story of the US Mercs Paintball Team	0.208955	0.613717	0.652345	0.353846	-2.67107	1	0
B.J. Thomas: That Christmas Feeling (DVD/CD Combo)	Batalla de las Americas (Canada Competition)	0.235294	0.59976	0.639784	0.395833	-2.646307	1	0
